Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value
10,Center,1,0.5,2,2,2,21.1,145,0.0%
10,Center,2,0.5,2,2,2,28.3,170,0.0%
10,Center,3,0.5,2,2,2,2.1,146,0.0%
10,Center,4,0.5,2,2,2,1.3,168,0.0%
10,Center,5,0.5,2,2,2,14.1,133,0.0%
10,Center,1,1.0,2,2,2,0.5,192,0.0%
10,Center,2,1.0,2,2,2,3.8,226,0.0%
10,Center,3,1.0,2,2,2,13.8,211,0.0%
10,Center,4,1.0,2,2,2,4.5,249,0.0%
10,Center,5,1.0,2,2,2,3.9,185,0.0%
10,Center,1,1.5,2,2,2,0.2,260,0.0%
10,Center,2,1.5,2,2,2,0.0,205,0.0%
10,Center,3,1.5,2,2,2,1.2,258,0.0%
10,Center,4,1.5,2,2,2,1.8,375,0.0%
10,Center,5,1.5,2,2,2,0.5,285,0.0%
10,Border,1,0.5,2,2,2,0.6,171,0.0%
10,Border,2,0.5,2,2,2,0.8,193,0.0%
10,Border,3,0.5,2,2,2,7.2,178,0.0%
10,Border,4,0.5,2,2,2,7.4,183,0.0%
10,Border,5,0.5,2,2,2,1.6,153,0.0%
10,Border,1,1.0,2,2,2,3.0,211,0.0%
10,Border,2,1.0,2,2,2,6.8,243,0.0%
10,Border,3,1.0,2,2,2,28.1,236,0.0%
10,Border,4,1.0,2,2,2,4.3,284,0.0%
10,Border,5,1.0,2,2,2,136.5,192,0.0%
10,Border,1,1.5,2,2,2,0.5,300,0.0%
10,Border,2,1.5,2,2,2,1.3,245,0.0%
10,Border,3,1.5,2,2,2,1.0,298,0.0%
10,Border,4,1.5,2,2,2,0.7,390,0.0%
10,Border,5,1.5,2,2,2,0.0,325,0.0%
10,Outside,1,0.5,2,2,2,1.2,211,0.0%
10,Outside,2,0.5,2,2,2,1.6,233,0.0%
10,Outside,3,0.5,2,2,2,4.6,218,0.0%
10,Outside,4,0.5,2,2,2,5.1,223,0.0%
10,Outside,5,0.5,2,2,2,16.9,193,0.0%
10,Outside,1,1.0,2,2,2,2.0,251,0.0%
